   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
   0,             1,               0,              0,         1,           0,          0,                         1,                           0,                          0,            6,              0,             1
   1,             1,               0,              0,         1,           0,          0,                         5,                           0,                          0,           10,              1,             1
   2,             4,               0,              0,        15,           2,          5,                        13,                           2,                          0,           22,              4,             1
   3,            10,               2,              0,        20,           2,          1,                        25,                           4,                          0,           31,              7,             1
   4,            13,               2,              0,        41,           5,          7,                        41,                           6,                          0,           52,             14,             5
   5,            16,               2,              1,        48,           6,          1,                        61,                           8,                          0,           64,             18,             1
   6,            19,               2,              0,        54,           6,          7,                        85,                          10,                          0,           79,             22,             1
   7,            22,               2,              1,        72,           8,          1,                       113,                          10,                          0,           94,             28,             2
   8,            25,               2,              1,        93,          11,          1,                       145,                          13,                          1,          123,             40,             1
   9,            28,               2,              1,        96,          11,          1,                       181,                          15,                          1,          144,             49,             1
  10,            31,               2,              1,       106,          12,          1,                       221,                          17,                          1,          167,             55,             1
  11,            34,               2,              1,       124,          14,          2,                       265,                          19,                          1,          188,             65,             1
  12,            39,               3,              1,       134,          14,          1,                       313,                          20,                          1,          214,             75,             4
  13,            42,               3,              2,       144,          15,          3,                       365,                          22,                          2,          235,             84,             3
  14,            45,               3,              1,       173,          18,          2,                       421,                          22,                          3,          261,             95,             3
  15,            48,               3,              2,       183,          19,          2,                       481,                          25,                          4,          281,            107,             3
  16,            51,               3,              4,       187,          19,          4,                       545,                          27,                          4,          311,            119,             3
  17,            56,               4,              3,       209,          21,          5,                       613,                          28,                          4,          338,            129,             3
  18,            59,               4,              2,       226,          23,          4,                       685,                          30,                          5,          369,            140,             3
  19,            62,               4,              2,       240,          24,          3,                       761,                          32,                          3,          398,            155,             2
  20,            67,               5,              2,       265,          27,          3,                       841,                          33,                          3,          432,            169,             2
  21,            72,               6,              1,       277,          28,          2,                       925,                          34,                          4,          458,            181,             2
  22,            75,               6,              1,       290,          29,          3,                      1013,                          36,                          4,          483,            188,             2
  23,            78,               6,              2,       321,          32,          2,                      1105,                          38,                          4,          512,            204,             4
  24,            81,               6,              2,       327,          31,          4,                      1201,                          38,                          8,          540,            213,             4
  25,            84,               6,              2,       325,          31,          4,                      1301,                          41,                          8,          569,            227,             4
  26,            89,               7,              3,       338,          32,          6,                      1405,                          42,                         10,          597,            238,             4
  27,            94,               8,              3,       352,          33,          3,                      1513,                          43,                         19,          623,            250,             3
  28,           101,              10,              2,       380,          35,          3,                      1625,                          45,                          6,          654,            263,             3
  29,           104,              10,              6,       411,          38,          5,                      1741,                          47,                          7,          683,            279,             3
  30,           107,              10,              4,       420,          40,          6,                      1861,                          49,                         12,          717,            295,             5
  31,           112,              11,              5,       425,          38,          5,                      1985,                          50,                         12,          743,            304,             5
  32,           115,              11,              7,       478,          44,          7,                      2113,                          52,                          8,          776,            315,             3
  33,           118,              11,              2,       489,          45,          4,                      2245,                          54,                          8,          808,            327,            36
  34,           121,              11,             10,       486,          44,          7,                      2381,                          56,                         15,          854,            349,             6
  35,           126,              12,              5,       493,          43,          7,                      2521,                          57,                         57,          876,            355,             5
  36,           129,              12,              6,       531,          49,          8,                      2665,                          59,                         17,          923,            374,            11
  37,           132,              12,              4,       566,          53,          7,                      2813,                          61,                         18,          948,            384,             6
  38,           135,              12,              4,       554,          50,          6,                      2965,                          63,                          3,          979,            396,             6
  39,           138,              12,              4,       585,          52,          6,                      3121,                          65,                          3,         1017,            416,             6
  40,           143,              13,              4,       596,          53,          6,                      3281,                          66,                          4,         1041,            421,             6
  41,           146,              13,              4,       606,          54,          6,                      3445,                          68,                          3,         1078,            440,             7
  42,           149,              13,              4,       625,          55,          6,                      3613,                          70,                          4,         1116,            458,             6
  43,           152,              13,              4,       643,          57,          7,                      3785,                          72,                          4,         1153,            476,            10
  44,           155,              13,              4,       645,          57,          7,                      3961,                          74,                          6,         1186,            487,             6
  45,           158,              13,              3,       654,          57,          5,                      4141,                          76,                          2,         1217,            504,             4
  46,           161,              13,              8,       703,          62,          5,                      4325,                          78,                          2,         1259,            521,            15
  47,           166,              14,              3,       727,          64,          8,                      4513,                          79,                          3,         1285,            533,             4
  48,           171,              15,              3,       710,          61,          4,                      4705,                          80,                          3,         1325,            549,            15
  49,           174,              15,              5,       732,          63,          8,                      4901,                          82,                          5,         1355,            560,             8
  50,           177,              15,              7,       772,          66,          8,                      5101,                          84,                          5,         1400,            582,             8
  51,           182,              16,              7,       776,          65,          8,                      5305,                          85,                          5,         1422,            589,             5
  52,           187,              17,              3,       783,          66,          5,                      5513,                          86,                          3,         1461,            603,             7
  53,           194,              19,              5,       818,          71,          9,                      5725,                          88,                          6,         1494,            620,             9
  54,           201,              21,              5,       852,          68,          9,                      5941,                          90,                          4,         1527,            634,             8
  55,           204,              21,              3,       878,          69,          8,                      6161,                          92,                          6,         1559,            653,             8
  56,           207,              21,              5,       870,          71,          8,                      6385,                          94,                          9,         1601,            671,             9
  57,           210,              21,              6,       877,          71,         10,                      6613,                          94,                          7,         1628,            679,             9
  58,           213,              21,              5,       919,          79,          8,                      6845,                          97,                          6,         1664,            700,             8
  59,           216,              21,              6,       941,          79,         10,                      7081,                          99,                          7,         1697,            716,             9
  60,           219,              21,              6,       975,          79,         10,                      7321,                         101,                          7,         1735,            733,             9
  61,           222,              21,              6,       997,          81,         10,                      7565,                         101,                          8,         1764,            746,             6
  62,           225,              21,              3,       975,          80,          6,                      7813,                         104,                          4,         1800,            762,             6
  63,           228,              21,              4,       969,          78,          5,                      8065,                         106,                          4,         1831,            780,             6
  64,           233,              22,              8,      1017,          81,         11,                      8321,                         107,                          4,         1855,            783,             7
  65,           236,              22,              4,      1069,          88,          5,                      8581,                         109,                          4,         1894,            798,             5
  66,           239,              22,              4,      1097,          92,         10,                      8845,                         111,                          8,         1956,            831,            10
  67,           242,              22,              6,      1051,          85,         11,                      9113,                         113,                          5,         1989,            844,             6
  68,           247,              23,              4,      1094,          89,          6,                      9385,                         114,                          5,         2035,            862,             6
  69,           254,              25,              4,      1143,          95,          6,                      9661,                         116,                          5,         2069,            875,             6
  70,           263,              28,              4,      1168,          92,          6,                      9941,                         119,                         10,         2113,            895,            11
  71,           272,              31,              9,      1194,          94,          6,                     10225,                         122,                          5,         2146,            908,             6
  72,           275,              31,              4,      1222,         101,          6,                     10513,                         124,                          5,         2194,            929,             6
  73,           278,              31,              4,      1175,          93,          5,                     10805,                         126,                          6,         2221,            932,             6
  74,           281,              31,              4,      1228,         101,          6,                     11101,                         128,                          6,         2271,            958,            11
  75,           284,              31,              8,      1270,         104,         13,                     11401,                         130,                         34,         2307,            978,            17
  76,           287,              31,              5,      1281,         103,          7,                     11705,                         132,                          6,         2351,            993,             7
  77,           290,              31,              5,      1306,         106,          7,                     12013,                         134,                          6,         2383,           1005,             9
  78,           295,              32,              5,      1298,         105,          6,                     12325,                         135,                          6,         2428,           1025,             7
  79,           302,              34,              5,      1319,         105,          6,                     12641,                         137,                          7,         2469,           1048,             8
  80,           305,              34,              5,      1339,         104,          6,                     12961,                         139,                          7,         2512,           1063,             7
  81,           308,              34,              5,      1363,         108,          6,                     13285,                         141,                          7,         2537,           1069,             7
  82,           311,              34,              5,      1383,         110,          6,                     13613,                         143,                          7,         2572,           1081,             7
  83,           316,              35,              5,      1413,         112,          6,                     13945,                         144,                          7,         2630,           1114,             8
  84,           319,              35,              6,      1438,         115,          8,                     14281,                         146,                          7,         2658,           1121,             8
  85,           326,              37,              5,      1431,         109,          7,                     14621,                         148,                          7,         2691,           1133,             8
  86,           335,              40,              5,      1464,         115,          7,                     14965,                         151,                          8,         2736,           1153,             7
  87,           338,              40,              5,      1490,         117,          9,                     15313,                         153,                          8,         2775,           1173,             8
  88,           341,              40,              5,      1472,         115,          7,                     15665,                         155,                          8,         2816,           1189,             7
  89,           344,              40,              5,      1497,         118,          6,                     16021,                         157,                          8,         2841,           1203,             8
  90,           347,              40,              5,      1608,         129,          8,                     16381,                         159,                          8,         2897,           1227,             8
  91,           352,              41,              6,      1620,         129,          7,                     16745,                         160,                          8,         2935,           1242,             9
  92,           355,              41,              7,      1567,         121,          7,                     17113,                         162,                          9,         2982,           1267,            35
  93,           358,              41,             13,      1600,         123,         23,                     17485,                         162,                         37,         3013,           1279,            27
  94,           361,              41,              9,      1639,         127,         17,                     17861,                         165,                         17,         3061,           1302,            15
  95,           364,              41,             10,      1664,         131,         17,                     18241,                         167,                         18,         3108,           1326,            15
  96,           367,              41,              6,      1637,         125,         16,                     18625,                         169,                         20,         3126,           1324,            15
  97,           376,              44,              9,      1652,         124,         16,                     19013,                         172,                         19,         3161,           1344,            16
  98,           387,              48,             10,      1704,         133,         15,                     19405,                         176,                         20,         3201,           1357,            15
  99,           390,              48,             17,      1739,         137,         21,                     19801,                         178,                         19,         3267,           1392,            15
 100,           393,              48,             10,      1734,         135,         16,                     20201,                         180,                         20,         3298,           1404,            20
 101,           396,              48,             12,      1757,         136,         18,                     20605,                         182,                         21,         3328,           1412,            17
 102,           399,              48,             11,      1786,         139,         16,                     21013,                         184,                         19,         3390,           1441,            16
 103,           402,              48,             11,      1826,         134,         18,                     21425,                         186,                         18,         3417,           1458,            17
 104,           405,              48,             11,      1908,         141,         17,                     21841,                         188,                         21,         3475,           1483,            16
 105,           408,              48,             11,      1927,         142,         19,                     22261,                         190,                         22,         3499,           1492,            16
 106,           411,              48,             12,      1952,         143,         17,                     22685,                         192,                         22,         3548,           1518,            16
 107,           416,              49,              8,      1989,         147,         18,                     23113,                         193,                         23,         3586,           1534,            17
 108,           421,              50,              3,      1954,         146,         18,                     23545,                         194,                         23,         3627,           1551,            17
 109,           430,              53,              3,      1942,         145,         11,                     23981,                         197,                         12,         3663,           1568,            10
 110,           437,              55,              2,      1950,         141,          9,                     24421,                         199,                         12,         3704,           1588,            10
 111,           440,              55,              2,      1990,         143,         17,                     24865,                         199,                         23,         3743,           1608,            28
 112,           443,              55,              2,      1971,         144,         11,                     25313,                         202,                         13,         3788,           1629,            11
 113,           448,              56,              2,      1997,         143,         19,                     25765,                         203,                         22,         3814,           1635,             9
 114,           453,              57,              4,      1989,         146,          6,                     26221,                         204,                         24,         3855,           1652,             8
 115,           462,              60,              3,      2017,         147,          5,                     26681,                         206,                         21,         3902,           1681,             7
 116,           465,              60,              2,      2077,         158,          4,                     27145,                         208,                         13,         3934,           1686,             6
 117,           468,              60,              2,      2132,         163,          3,                     27613,                         210,                         14,         3978,           1712,             6
 118,           471,              60,              2,      2123,         159,          4,                     28085,                         212,                         14,         4013,           1727,             5
 119,           478,              62,              2,      2160,         162,          6,                     28561,                         214,                         22,         4064,           1759,             6
 120,           481,              62,              4,      2223,         164,          8,                     29041,                         216,                         26,         4090,           1768,            10
 121,           484,              62,              3,      2190,         159,          7,                     29525,                         218,                         27,         4139,           1787,            10
 122,           487,              62,              4,      2212,         163,          5,                     30013,                         220,                         15,         4174,           1803,             6
 123,           490,              62,              2,      2237,         164,          4,                     30505,                         220,                         15,         4205,           1818,             6
 124,           493,              62,              2,      2215,         166,          9,                     31001,                         223,                         27,         4247,           1841,            11
 125,           496,              62,              4,      2224,         164,          6,                     31501,                         225,                        219,         4286,           1860,            11
 126,           499,              62,              4,      2308,         165,          9,                     32005,                         227,                         30,         4324,           1880,            11
 127,           502,              62,              4,      2334,         168,          5,                     32513,                         229,                         16,         4361,           1896,             7
 128,           505,              62,              2,      2318,         164,          5,                     33025,                         231,                         16,         4402,           1920,             7
 129,           512,              64,              2,      2393,         170,          4,                     33541,                         233,                         16,         4442,           1939,             6
 130,           515,              64,              2,      2403,         175,          4,                     34061,                         235,                         17,         4502,           1960,             8
 131,           518,              64,              2,      2418,         180,          5,                     34585,                         237,                         17,         4542,           1970,             7
 132,           521,              64,              2,      2397,         172,          4,                     35113,                         239,                         17,         4586,           1984,             7
 133,           526,              65,              2,      2464,         177,          4,                     35645,                         240,                         17,         4633,           2014,             9
 134,           529,              65,              2,      2487,         184,          5,                     36181,                         242,                         17,         4679,           2034,             6
 135,           532,              65,              3,      2479,         183,          4,                     36721,                         244,                         18,         4715,           2046,             6
 136,           535,              65,              2,      2539,         186,          4,                     37265,                         244,                         18,         4782,           2076,             6
 137,           538,              65,              2,      2473,         182,          4,                     37813,                         247,                         18,         4806,           2084,             7
 138,           541,              65,              2,      2626,         186,          4,                     38365,                         249,                         19,         4876,           2115,             7
 139,           544,              65,              2,      2682,         191,          4,                     38921,                         251,                         19,         4920,           2137,             7
 140,           547,              65,              2,      2689,         190,          4,                     39481,                         253,                         19,         4958,           2155,             7
 141,           550,              65,              2,      2723,         192,          4,                     40045,                         255,                         19,         4987,           2164,             7
 142,           553,              65,              2,      2622,         190,          4,                     40613,                         257,                         79,         5040,           2185,            13
 143,           560,              67,              4,      2674,         194,          9,                     41185,                         259,                         35,         5080,           2203,             7
 144,           563,              67,              2,      2733,         196,          5,                     41761,                         261,                         20,         5121,           2215,             7
 145,           566,              67,              2,      2756,         196,          4,                     42341,                         263,                         20,         5179,           2247,             7
 146,           571,              68,              2,      2653,         184,          5,                     42925,                         264,                         21,         5231,           2269,             7
 147,           574,              68,              2,      2655,         188,          4,                     43513,                         266,                         21,         5265,           2281,             7
 148,           577,              68,              4,      2735,         197,          5,                     44105,                         268,                         21,         5306,           2300,             7
 149,           580,              68,              2,      2759,         197,          4,                     44701,                         270,                         21,         5338,           2315,             7
 150,           585,              69,              3,      2778,         199,          5,                     45301,                         271,                         22,         5400,           2342,             7
 151,           590,              70,              2,      2808,         202,          4,                     45905,                         272,                         22,         5444,           2358,             7
 152,           593,              70,              2,      2848,         206,          5,                     46513,                         274,                         50,         5506,           2394,            15
 153,           596,              70,              2,      2847,         209,          5,                     47125,                         276,                         23,         5525,           2397,             8
 154,           599,              70,              2,      2988,         221,          5,                     47741,                         278,                         23,         5589,           2426,             8
 155,           602,              70,              2,      2986,         219,          4,                     48361,                         280,                         23,         5615,           2437,             8
 156,           605,              70,              2,      3030,         202,          5,                     48985,                         282,                         24,         5665,           2456,             8
 157,           608,              70,              2,      3145,         207,          5,                     49613,                         284,                         24,         5716,           2487,             7
 158,           611,              70,              2,      2946,         208,          6,                     50245,                         286,                         24,         5776,           2513,             7
 159,           616,              71,              2,      2976,         210,          4,                     50881,                         287,                         24,         5790,           2515,             7
 160,           619,              71,              2,      3008,         216,          4,                     51521,                         289,                         25,         5837,           2530,             8
 161,           622,              71,              2,      3014,         212,          4,                     52165,                         291,                         25,         5892,           2555,             9
 162,           627,              72,              4,      3054,         217,          8,                     52813,                         292,                         25,         5926,           2567,             8
 163,           630,              72,              2,      3067,         220,          5,                     53465,                         294,                         26,         5980,           2596,             8
 164,           633,              72,              2,      3099,         222,          4,                     54121,                         296,                         26,         6042,           2626,             8
 165,           638,              73,              3,      3113,         222,          4,                     54781,                         297,                         26,         6075,           2643,             8
 166,           645,              75,              4,      3140,         222,          9,                     55445,                         299,                         40,         6117,           2660,            12
 167,           654,              78,              4,      3169,         224,          8,                     56113,                         302,                         42,         6151,           2672,            12
 168,           665,              82,              3,      3232,         225,          6,                     56785,                         306,                         27,         6201,           2693,             9
 169,           668,              82,              5,      3254,         228,         10,                     57461,                         308,                         51,         6239,           2706,            15
 170,           671,              82,              5,      3416,         228,         10,                     58141,                         310,                         55,         6288,           2734,            17
 171,           674,              82,              5,      3434,         230,          9,                     58825,                         312,                         55,         6334,           2759,            10
 172,           677,              82,              3,      3243,         224,          5,                     59513,                         312,                         29,         6381,           2777,             9
 173,           680,              82,              3,      3318,         234,          5,                     60205,                         315,                         29,         6406,           2781,             9
 174,           683,              82,              4,      3278,         231,         10,                     60901,                         317,                         53,         6467,           2812,            15
 175,           688,              83,              5,      3300,         232,          8,                     61601,                         318,                         57,         6510,           2838,            15
 176,           691,              83,              5,      3326,         237,         10,                     62305,                         320,                         57,         6549,           2847,            15
 177,           694,              83,              6,      3320,         231,          9,                     63013,                         322,                         56,         6592,           2869,            15
 178,           699,              84,              5,      3451,         246,         10,                     63725,                         323,                        102,         6628,           2882,            13
 179,           702,              84,              3,      3480,         250,          6,                     64441,                         325,                         31,         6687,           2914,            10
 180,           705,              84,              3,      3377,         235,          5,                     65161,                         327,                         31,         6745,           2944,             9
 181,           708,              84,              3,      3403,         237,          4,                     65885,                         329,                         31,         6768,           2944,             9
 182,           711,              84,              3,      3555,         251,          5,                     66613,                         331,                         35,         6807,           2957,             9
 183,           714,              84,              2,      3570,         251,          4,                     67345,                         333,                         32,         6847,           2978,             9
 184,           719,              85,              4,      3477,         240,          5,                     68081,                         334,                         32,         6895,           2998,             9
 185,           724,              86,             11,      3476,         238,          6,                     68821,                         335,                         51,         6950,           3035,             9
 186,           731,              88,              3,      3780,         248,          5,                     69565,                         337,                         33,         6992,           3052,             9
 187,           736,              89,              4,      3784,         246,          6,                     70313,                         338,                         34,         7031,           3064,            10
 188,           739,              89,              4,      3661,         243,          6,                     71065,                         338,                         41,         7091,           3100,            17
 189,           742,              89,              4,      3658,         252,          8,                     71821,                         338,                         39,         7130,           3114,            10
 190,           745,              89,              3,      3635,         252,          8,                     72581,                         342,                         43,         7186,           3136,            17
 191,           750,              90,              4,      3663,         253,          5,                     73345,                         343,                         35,         7218,           3154,            10
 192,           757,              92,             12,      3900,         262,          5,                     74113,                         345,                         50,         7254,           3164,            10
 193,           766,              95,              3,      3920,         260,          7,                     74885,                         348,                         43,         7299,           3191,            12
 194,           777,              99,              3,      3912,         259,          6,                     75661,                         352,                         45,         7350,           3209,            10
 195,           780,              99,              3,      3968,         263,          9,                     76441,                         354,                         36,         7388,           3223,            10
 196,           783,              99,              3,      3798,         264,          5,                     77225,                         356,                         37,         7432,           3244,            10
 197,           786,              99,              3,      3837,         268,          6,                     78013,                         358,                         37,         7469,           3255,            10
 198,           789,              99,              3,      3838,         268,          5,                     78805,                         360,                         41,         7520,           3282,            10
 199,           792,              99,              3,      3853,         269,          5,                     79601,                         362,                         38,         7564,           3302,            10
 200,           795,              99,              3,      3882,         271,          5,                     80401,                         364,                         38,         7608,           3320,            10
 201,           798,              99,              3,      3893,         272,          6,                     81205,                         366,                         38,         7630,           3327,            10
 202,           803,             100,              3,      3894,         268,          5,                     82013,                         367,                         39,         7686,           3348,            10
 203,           806,             100,              3,      3893,         270,          4,                     82825,                         369,                         39,         7732,           3376,            10
 204,           809,             100,              3,      3989,         271,          5,                     83641,                         371,                         39,         7791,           3401,            10
 205,           812,             100,              3,      4011,         273,          5,                     84461,                         373,                         40,         7823,           3412,            13
